timestamp,cpu_percent,mem_percent,io_read_kbps,io_write_kbps,process_count,syscall_rate_per_sec
1775489719.7933936,7.2,67.0,0.0,0.0,0.0,3.4
1775489724.7933936,8.2,67.0,0.0,0.0,0.0,3.4
1775489729.7933936,6.3,67.5,0.0,0.0,0.0,3.4
1775489734.7933936,4.4,67.5,0.0,0.0,0.0,3.4
1775489739.7933936,3.8,67.5,0.0,0.0,0.0,3.4
1775489744.7933936,6.0,67.4,0.0,0.0,0.0,3.4
1775489749.7933936,41.3,67.8,0.0,0.0,0.0,3.4
1775489754.7933936,13.7,67.3,0.0,0.0,0.0,3.4
1775489759.7933936,8.8,67.1,0.0,0.0,0.0,3.4
1775489764.7933936,9.1,67.4,0.0,0.0,0.0,3.4
1775489769.7933936,9.5,66.8,0.0,0.0,0.0,3.4
1775489774.7933936,11.7,67.0,0.0,0.0,0.0,3.4
1775489779.7933936,9.5,66.8,0.0,0.0,0.0,6.2
1775489784.7933936,7.3,66.1,0.0,0.0,0.0,3.4
1775489789.7933936,9.1,66.5,0.0,0.0,0.0,3.4
1775489794.7933936,2.5,66.1,0.0,0.0,0.0,6.2
1775489799.7933936,2.5,66.0,0.0,0.0,0.0,3.4
1775489804.7933936,2.5,65.9,0.0,0.0,0.0,3.4
1775489809.7933936,3.1,65.6,0.0,0.0,0.0,3.4
